[2024-12-01 15:56:00,616: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:00,774: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:00,775: INFO: 3963953584: face is not unique]
[2024-12-01 15:56:00,775: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:56:00,775: INFO: 3963953584: Handling Duplicate image with hash: 5c4f6184fd9cfa7e035a659aaa9a2058d2fc65ce and j: 3]
[2024-12-01 15:56:00,777: INFO: 3963953584: Duplicate image row has been updated !!!]
[2024-12-01 15:56:01,945: INFO: 3963953584: Found faces in frame 2 of video 3]
[2024-12-01 15:56:01,946: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:01,951: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:02,062: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:02,063: INFO: 3963953584: face is unique and saving it to unique_faces/unique_face_0_3_frame_1.jpg]
[2024-12-01 15:56:02,064: INFO: 3963953584: Adding unique image in the dataframe...]
[2024-12-01 15:56:02,408: INFO: 3963953584: New row for unique image added successfully !!! 
 {'image_path': 'unique_faces/unique_face_0_3_frame_1.jpg', 'hash': '97b22b309cdd70bae11e6227c0d4ec0b6ed2b57d', 'score': 0.5, 'no_of_occurance': 1, 'recent_occurance': 3} ]
[2024-12-01 15:56:03,750: INFO: 3963953584: Found faces in frame 3 of video 3]
[2024-12-01 15:56:03,750: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:03,754: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:56:03,910: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:56:03,911: INFO: 3963953584: face is unique and saving it to unique_faces/unique_face_1_3_frame_10.jpg]
[2024-12-01 15:56:03,912: INFO: 3963953584: Adding unique image in the dataframe...]
[2024-12-01 15:56:04,153: INFO: 3963953584: New row for unique image added successfully !!! 
 {'image_path': 'unique_faces/unique_face_1_3_frame_10.jpg', 'hash': 'f08c297abb35119c6f0e453713731a9e85c8704d', 'score': 0.5, 'no_of_occurance': 1, 'recent_occurance': 3} ]
[2024-12-01 15:56:04,153: INFO: 3963953584: Face is not clear]
[2024-12-01 15:56:05,311: INFO: 3963953584: Found faces in frame 4 of video 3]
[2024-12-01 15:56:05,312: INFO: 3963953584: Face is clear]
[2024-12-01 15:56:05,314: INFO: 3963953584: Checking if the face is unique...]
